cluster_id	sim_ave	sim_min	sim_max	size	composed_go
cluster_0001	0.63363	0.27960	1.00000	55	GO:0016799
cluster_0002	1.00000	1.00000	1.00000	11	GO:0047545
cluster_0003	0.88275	0.76324	1.00000	21	GO:0000140
cluster_0004	0.83756	0.38952	1.00000	1923	GO:0003700;GO:0008270;GO:0003677
cluster_0005	0.73244	0.26466	1.00000	663	GO:0016765
cluster_0006	0.70204	0.40189	1.00000	104	GO:0016491;GO:0016746
cluster_0007	0.99588	0.56026	1.00000	994	GO:0016491
cluster_0008	0.94384	0.31225	1.00000	1019	GO:0004497;GO:0016705;GO:0020037;GO:0005506
cluster_0009	0.65061	0.29897	1.00000	623	GO:0050660
cluster_0010	0.76331	0.38993	1.00000	303	GO:0031177
cluster_0011	0.75203	0.49251	1.00000	89	GO:0050897
cluster_0012	0.77046	0.25953	1.00000	337	GO:0019955;GO:0004896;GO:0001637
cluster_0013	0.76440	0.25941	1.00000	192	GO:0030246
cluster_0014	0.75835	0.31444	1.00000	176	GO:0016706
cluster_0015	0.71459	0.33532	1.00000	235	GO:0004553
cluster_0016	0.98561	0.33037	1.00000	2510	GO:0090729
cluster_0017	0.77351	0.40514	1.00000	332	GO:0004553
cluster_0018	0.99199	0.73480	1.00000	546	GO:0051500;GO:0106026;GO:0043908;GO:0000049
cluster_0019	0.65463	0.35137	1.00000	36	GO:0090729;GO:0016757;GO:0016779;GO:0140096
cluster_0020	0.88682	0.43360	1.00000	84	GO:0010427;GO:0004864;GO:0038023
cluster_0021	0.99921	0.75000	1.00000	5074	GO:0003677
cluster_0022	0.96805	0.89135	1.00000	23	GO:0004483;GO:0004482;GO:0003968;GO:0003725;GO:0003724;GO:0004252;GO:0008289;GO:0046983;GO:0016887;GO:0015267
cluster_0023	0.78084	0.27545	1.00000	259	GO:0016638
cluster_0024	0.82781	0.52655	1.00000	399	GO:0016405;GO:0015645
cluster_0025	0.70436	0.37917	1.00000	286	GO:0005506;GO:0016491;GO:0051537
cluster_0026	0.85284	0.68465	1.00000	10	GO:0046848
cluster_0027	0.54307	0.27767	1.00000	60	GO:0016787
cluster_0028	0.69181	0.34175	1.00000	431	GO:0030246;GO:0004553
cluster_0029	0.58354	0.25578	1.00000	649	GO:0052689
cluster_0030	0.90667	0.30651	1.00000	366	GO:0016636;GO:0016730;GO:0051539
cluster_0031	0.96469	0.83130	1.00000	17	GO:0005549;GO:0004984
cluster_0032	0.69037	0.27356	1.00000	63	GO:0016836
cluster_0033	0.95791	0.57926	1.00000	114	GO:0004252
cluster_0034	0.87762	0.39830	1.00000	1174	GO:0016887;GO:0022857;GO:0140657;GO:0005524
cluster_0035	0.79667	0.26656	1.00000	382	GO:0016746
cluster_0036	0.76057	0.32200	1.00000	758	GO:0016616;GO:0050661
cluster_0037	0.87649	0.40552	1.00000	369	GO:0090729;GO:0098772
cluster_0038	0.85814	0.48118	1.00000	74	GO:0099106
cluster_0039	0.74590	0.40985	1.00000	406	GO:0016301;GO:0016773;GO:0005524
cluster_0040	0.84963	0.33312	1.00000	307	GO:0051213;GO:0016701
cluster_0041	0.75606	0.29363	1.00000	174	GO:0051536;GO:0016491;GO:0046872
cluster_0042	0.99823	0.74822	1.00000	1407	GO:0046872
cluster_0043	1.00000	1.00000	1.00000	37	GO:0016157
cluster_0044	0.97507	0.43240	1.00000	654	GO:0008289
cluster_0045	0.98737	0.55480	1.00000	427	GO:0005524
cluster_0046	0.98944	0.88167	1.00000	55	GO:0046983;GO:0003700;GO:0043565;GO:0001067;GO:0003690
cluster_0047	0.87939	0.70134	1.00000	14	GO:1990137
cluster_0048	0.76970	0.27398	1.00000	328	GO:0004497;GO:0016705
cluster_0049	0.93762	0.26297	1.00000	1228	GO:0005509
cluster_0050	0.84685	0.49466	1.00000	54	GO:0016714
cluster_0051	0.94692	0.31902	1.00000	470	GO:0008381
cluster_0052	0.60678	0.26787	1.00000	209	GO:0016779;GO:0004020
cluster_0053	0.75579	0.37444	1.00000	24	GO:0016289
cluster_0054	0.76376	0.44464	1.00000	99	GO:0008168
cluster_0055	0.96885	0.90407	1.00000	21	GO:0044603;GO:0030544;GO:0070733
cluster_0056	0.88199	0.65745	1.00000	26	GO:0140318;GO:0016887;GO:0022884;GO:0140036;GO:0005524;GO:0042626;GO:0044877
cluster_0057	0.75553	0.35795	1.00000	255	GO:0004497
cluster_0058	0.85905	0.35811	1.00000	207	GO:0004519
cluster_0059	0.89089	0.31683	1.00000	501	GO:0004619
cluster_0060	0.69535	0.27480	1.00000	396	GO:0016860
cluster_0061	0.98910	0.94003	1.00000	11	GO:0051777
cluster_0062	0.82283	0.39963	1.00000	847	GO:0004497;GO:0016705;GO:0020037;GO:0005506
cluster_0063	0.97934	0.50000	1.00000	193	GO:0005199
cluster_0064	0.74771	0.36616	1.00000	772	GO:0016835
cluster_0065	1.00000	1.00000	1.00000	15	GO:0003849
cluster_0066	0.91808	0.50536	1.00000	91	GO:0005507
cluster_0067	0.94906	0.31970	1.00000	738	GO:0050660
cluster_0068	0.78438	0.28678	1.00000	1182	GO:0008168
cluster_0069	0.97925	0.58954	1.00000	672	GO:0000981;GO:0000978;GO:0008270
cluster_0070	1.00000	1.00000	1.00000	176	GO:0016787;GO:0046872
cluster_0071	0.88551	0.40611	1.00000	208	GO:0071949;GO:0004497
cluster_0072	0.82819	0.29984	1.00000	314	GO:0004312;GO:0031177;GO:0004315
cluster_0073	0.96385	0.68111	1.00000	48	GO:0016762;GO:0030247;GO:0004553
cluster_0074	0.71994	0.35746	1.00000	645	GO:0016758;GO:0008194
cluster_0075	0.95656	0.61583	1.00000	485	GO:0008650
cluster_0076	0.99819	0.61234	1.00000	1382	GO:0008270
cluster_0077	1.00000	1.00000	1.00000	18	GO:0004312;GO:0031177
cluster_0078	0.99614	0.82162	1.00000	732	GO:0016787
cluster_0079	0.99534	0.90648	1.00000	476	GO:0030550;GO:0099106;GO:0090729
cluster_0080	0.66756	0.27429	1.00000	161	GO:0042802
cluster_0081	0.77123	0.35170	1.00000	630	GO:0003774;GO:0120544;GO:0008092;GO:0140657;GO:0005524;GO:0044877;GO:0005516;GO:0016887
cluster_0082	0.92786	0.46755	1.00000	412	GO:0016829
cluster_0083	0.98875	0.91562	1.00000	15	GO:0043364
cluster_0084	0.78669	0.25989	1.00000	861	GO:0008237;GO:0004175
cluster_0085	0.96529	0.27718	1.00000	1315	GO:0004867
cluster_0086	1.00000	1.00000	1.00000	22	GO:0019825;GO:0005344;GO:0020037;GO:0016491;GO:0046872
cluster_0087	0.86185	0.32740	1.00000	446	GO:0009055;GO:0020037
cluster_0088	0.78938	0.29897	1.00000	257	GO:0008061
cluster_0089	0.67834	0.31722	1.00000	17	GO:0004197;GO:0050547;GO:0008656;GO:0016769;GO:0034235
cluster_0090	0.82812	0.30381	1.00000	366	GO:0005102
cluster_0091	0.61588	0.26643	1.00000	617	GO:0016616
cluster_0092	0.91923	0.36305	1.00000	85	GO:0016798
cluster_0093	0.79960	0.31014	1.00000	128	GO:0008519
cluster_0094	0.84531	0.30888	1.00000	369	GO:0008270;GO:0003700;GO:0003677
cluster_0095	0.73211	0.26430	1.00000	288	GO:0022836;GO:0046873;GO:0005261
cluster_0096	0.78831	0.28450	1.00000	53	GO:0045551;GO:0050268
cluster_0097	0.99573	0.67360	1.00000	153	GO:0003823
cluster_0098	1.00000	1.00000	1.00000	17	GO:0042605
cluster_0099	0.86136	0.64571	1.00000	31	GO:0015204
cluster_0100	0.93222	0.47987	1.00000	153	GO:0016018;GO:0003755
cluster_0101	0.83360	0.34521	1.00000	116	GO:0003920
cluster_0102	0.83981	0.38375	1.00000	337	GO:0016744
cluster_0103	0.83610	0.48416	1.00000	238	GO:0030246;GO:0016773;GO:0016301;GO:0005524;GO:0140096;GO:0004888;GO:0031625;GO:0005516
cluster_0104	0.69662	0.36402	1.00000	205	GO:0005543;GO:0005509;GO:0072341
cluster_0105	0.81062	0.60923	1.00000	50	GO:0010333;GO:0016872;GO:0009975;GO:0000287;GO:0052678;GO:0050554
cluster_0106	0.63387	0.26345	1.00000	207	GO:0016614
cluster_0107	0.83475	0.26385	1.00000	470	GO:0003743;GO:0043022
cluster_0108	0.91480	0.42036	1.00000	805	GO:0008237
cluster_0109	0.99721	0.70157	1.00000	1789	GO:0022857
cluster_0110	0.88089	0.34033	1.00000	536	GO:0048038;GO:0050136
cluster_0111	0.73230	0.38832	1.00000	261	GO:0046943;GO:0015293;GO:0015665;GO:0015136;GO:0008324;GO:0015171
cluster_0112	0.59985	0.26310	1.00000	79	GO:0046872
